,Pokemon,Annotator,Annotation,baseline_preds,V1_preds,V2_preds,V3_preds,V4_preds,baseline,V1,V2,V3,V4
0,Porygon,Nick,"A blocky Pokemon that is composed almost entirely of polygons with shading in three dimensions. It is salmon and cyan colored, with feet that resemble bulldozer treading and a general shape that appears bird-like","['Bounsweet', 'Shuppet', 'Kangaskhan']","['Mr. Mime', 'Shieldon', 'Dugtrio']","['Roggenrola', 'Mr. Mime', 'Regirock']","['Roggenrola', 'Mr. Mime', 'Regirock']","['Bruxish', 'Porygon-Z', 'Roggenrola']",0,0,0,0,0
1,Pikachu,Nick,"A small yellow animal-like character with an expressive face and dotted eyes. It has red cheeks, and long ears that stand straight up, like a rabbit. Its tail is long and zig-zags in a jagged fashion unlike the rest of its body","['Gastly', 'Pheromosa', 'Indeedee Male']","['Slowpoke', 'Buneary', 'Lopunny']","['Zigzagoon', 'Linoone', 'Lopunny']","['Lopunny', 'Jolteon', 'Electrike']","['Sewaddle', 'Pignite', 'Meowth']",0,0,0,0,0
2,Florges,Nick,"a feminine-appearing character that resembles a plant or flower of some kind. It appears humanlike, with hands and two legs. Its head is colorful, with a lot of groomed features that appear to resemble colorful hair","['Solrock', 'Dewgong', 'Skwovet']","['Lilligant', 'Chikorita', 'Roselia']","['Comfey', 'Lilligant', 'Bounsweet']","['Comfey', 'Flapple', 'Lilligant']","['Lilligant', 'Lurantis', 'Comfey']",0,0,0,0,0
3,Walrein,Nick,"A walrus-like character that is almost entirely blue. It has tusks and what appears to be an assortment of hair on its face. Its nose is blue, and around its neck are grey rings","['Carkol', 'Glimmet', 'Lombre']","['Rattata', 'Feebas', 'Sneasel']","['Fraxure', 'Armaldo', 'Raticate']","['Yungoos', 'Raticate', 'Tyrunt']","['Fraxure', 'Walrein', 'Tyrunt']",0,0,0,0,1
4,Luxray,Nick,"A fierce looking animal-like Pokemon that is mostly black and blue. It has red eyes that dart intensely toward what it is looking at, and it also appears to have fur which is especially pronounced on its face, like a lion’s mane. It walks on four legs, and its tail has a star-shaped tip with four points","['Shellder', 'Mr. Rime', 'Pikipek']","['Tauros', 'Mankey', 'Rapidash']","['Mankey', 'Muk', 'Nidorino']","['Gumshoos', 'Furret', 'Lycanroc Midday Form']","['Gyarados', 'Mankey', 'Grovyle']",0,0,0,0,0
5,Yanma,Nick,a red and green Pokémon that looks like an insect combined with a scorpion. It has orange stripes on its wings,"['Machop', 'Seismitoad', 'Floatzel']","['Ho-oh', 'Skarmory', 'Pidgeot']","['Dustox', 'Garchomp', 'Beedrill']","['Beedrill', 'Yanma', 'Crobat']","['Beedrill', 'Dunsparce', 'Venipede']",0,0,0,1,0
6,Alakazam,Nick,"A mostly brown and yellow Pokémon that walks on two legs and has talons on its feet. It has a star-shaped head and intense eyes. Its hands are human-like, with fingers that can grip objects like the spoons it’s holding","['Basculin Red-Striped Form', 'Drilbur', 'Lechonk']","['Pidgeot', 'Latios', 'Doduo']","['Latios', 'Natu', 'Alakazam']","['Alakazam', 'Kricketot', 'Hoothoot']","['Alakazam', 'Magearna', 'Orbeetle']",0,0,1,1,1
7,Vulpix,Nick,"A cute animal-like character that is entirely pink. It appears shy and reserved, but nice. Its feet are brown, and it walks on four legs and sits like a household pet. It has a tuft of hair on its head and its tail looks soft and blossoms outward, almost like a peacock. It has a white belly and brown eyes","['Cetitan', 'Caterpie', 'Wattrel']","['Ponyta', 'Sentret', 'Lopunny']","['Raticate', 'Slowpoke', 'Lopunny']","['Minccino', 'Lopunny', 'Liepard']","['Deerling', 'Minccino', 'Dartrix']",0,0,0,0,0
8,Armaldo,Nick,"A mostly blue and yellow character with armored scaly skin, similar to a reptile. It has wings and its eyes are attached to its head on what looks to be its ears","['Drowzee', 'Wingull', 'Dedenne']","['Dratini', 'Gastrodon', 'Armaldo']","['Muk', 'Weepinbell', 'Parasect']","['Rhyperior', 'Conkeldurr', 'Boldore']","['Kabuto', 'Regirock', 'Rhyhorn']",0,1,0,0,0
9,Natu,Nick,"A character that appears to be bird-like, with wings and a green body. Its appendages are pink. It has a yellow beak and a pink feather on top of its head, with wide eyes","['Froslass', 'Piplup', 'Weepinbell']","['Staravia', 'Crobat', 'Wingull']","['Natu', 'Vullaby', 'Mandibuzz']","['Mandibuzz', 'Rowlet', 'Staravia']","['Pikipek', 'Fletchling', 'Rowlet']",0,0,1,0,0
